type	latitude	longitude	altitude (m)	name
T	-15.739750048	-72.336236836	3905.0	Colca_Valley_Longs_and_Lats
T	-15.736415521	-72.332200129	3779.1	
T	-15.736415521	-72.328163421	3816.0	
T	-15.736415521	-72.324126714	3856.3	
T	-15.736415521	-72.320090006	3876.8	
T	-15.736415521	-72.316053299	3787.2	
T	-15.736415521	-72.312016592	3541.1	
T	-15.736415521	-72.307979884	3215.7	
T	-15.736415521	-72.303943177	3079.2	
T	-15.736415521	-72.299906469	3168.1	
T	-15.736415521	-72.295869762	3205.9	
T	-15.736415521	-72.291833054	3171.6	
T	-15.736415521	-72.287796347	3077.0	
T	-15.736415521	-72.283759640	2988.8	
T	-15.736415521	-72.279722932	2942.8	
T	-15.736415521	-72.275686225	2817.9	
T	-15.736415521	-72.271649517	2875.1	
T	-15.736415521	-72.267612810	2610.1	
T	-15.736415521	-72.263576103	2361.3	
T	-15.736415521	-72.259539395	2083.0	
T	-15.736415521	-72.255502688	1783.7	
T	-15.736415521	-72.251465980	1535.4	
T	-15.736415521	-72.247429273	1384.2	
T	-15.736415521	-72.243392565	1457.5	
T	-15.736415521	-72.239355858	2019.2	
T	-15.736415521	-72.235319151	2368.4	
T	-15.736415521	-72.231282443	2473.7	
T	-15.736415521	-72.227245736	2525.5	
T	-15.736415521	-72.223209028	2839.9	
T	-15.736415521	-72.219172321	3208.7	
T	-15.736415521	-72.215135614	3565.3	
T	-15.736415521	-72.211098906	3632.4	
T	-15.736415521	-72.207062199	3741.4	
T	-15.736415521	-72.203025491	3739.9	
T	-15.736415521	-72.198988784	3781.9	
T	-15.736415521	-72.194952077	3834.3	
T	-15.736415521	-72.190915369	3825.2	
T	-15.736415521	-72.186878662	3801.7	
T	-15.736415521	-72.182841954	3897.0	
T	-15.736415521	-72.178805247	3804.5	
T	-15.736415521	-72.174768539	3712.9	
T	-15.736415521	-72.170731832	3782.8	
T	-15.736415521	-72.166695125	3793.0	
T	-15.736415521	-72.162658417	3944.7	
T	-15.736415521	-72.158621710	4022.7	
T	-15.736415521	-72.154585002	4068.9	
T	-15.736415521	-72.150548295	4275.3	
T	-15.736415521	-72.146511588	4339.7	
T	-15.736415521	-72.142474880	4135.9	
T	-15.736415521	-72.138438173	4059.4	
T	-15.736415521	-72.134401465	3977.9	
T	-15.736415521	-72.130364758	4010.3	
T	-15.736415521	-72.126328050	3772.5	
T	-15.736415521	-72.122291343	3655.9	
T	-15.736415521	-72.118254636	3552.0	
T	-15.736415521	-72.114217928	3491.2	
T	-15.736415521	-72.110181221	3354.6	
T	-15.736415521	-72.106144513	3330.8	
T	-15.736415521	-72.102107806	3445.1	
T	-15.736415521	-72.098071099	3646.4	
T	-15.736415521	-72.094034391	3899.5	
T	-15.736415521	-72.089997684	4048.2	
T	-15.736415521	-72.085960976	4137.3	
T	-15.736415521	-72.081924269	4250.4	
T	-15.736415521	-72.077887561	4242.0	
T	-15.736415521	-72.073850854	4209.0	
T	-15.736415521	-72.069814147	4243.1	
T	-15.736415521	-72.065777439	4225.2	
T	-15.736415521	-72.061740732	4418.2	
T	-15.736415521	-72.057704024	4608.1	
T	-15.736415521	-72.053667317	4713.8	
T	-15.736415521	-72.049630610	4817.1	
T	-15.736415521	-72.045593902	4933.5	
T	-15.736415521	-72.041557195	5082.6	
T	-15.736415521	-72.037520487	5015.4	
T	-15.736415521	-72.033483780	4904.8	
T	-15.736415521	-72.029447073	4790.4	
T	-15.736415521	-72.025410365	4530.8	
T	-15.736415521	-72.021373658	4333.6	
T	-15.736415521	-72.017336950	4310.9	
T	-15.736415521	-72.013300243	4310.5	
T	-15.736415521	-72.009263535	4324.4	
T	-15.736415521	-72.005226828	4328.4	
T	-15.736415521	-72.001190121	4342.0	
T	-15.736415521	-71.997153413	4369.2	
T	-15.736415521	-71.993116706	4425.6	
T	-15.736415521	-71.989079998	4492.4	
T	-15.736415521	-71.985043291	4588.2	
T	-15.736415521	-71.981006584	4664.2	
T	-15.736415521	-71.976969876	4701.4	
T	-15.736415521	-71.972933169	4733.5	
T	-15.736415521	-71.968896461	4762.4	
T	-15.736415521	-71.964859754	4832.4	
T	-15.736415521	-71.960823046	4900.6	
T	-15.736415521	-71.956786339	4908.1	
T	-15.736415521	-71.952749632	4883.7	
T	-15.736415521	-71.948712924	4873.1	
T	-15.736415521	-71.944676217	4892.0	
T	-15.736415521	-71.940639509	4912.8	
T	-15.736415521	-71.936602802	4939.3	
T	-15.733080995	-72.332200129	3905.7	
T	-15.733080995	-72.328163421	3973.5	
T	-15.733080995	-72.324126714	3921.0	
T	-15.733080995	-72.320090006	3931.9	
T	-15.733080995	-72.316053299	3736.5	
T	-15.733080995	-72.312016592	3479.3	
T	-15.733080995	-72.307979884	3294.0	
T	-15.733080995	-72.303943177	3340.8	
T	-15.733080995	-72.299906469	3231.2	
T	-15.733080995	-72.295869762	3310.7	
T	-15.733080995	-72.291833054	3338.9	
T	-15.733080995	-72.287796347	3222.9	
T	-15.733080995	-72.283759640	3120.4	
T	-15.733080995	-72.279722932	3080.1	
T	-15.733080995	-72.275686225	2934.7	
T	-15.733080995	-72.271649517	2875.8	
T	-15.733080995	-72.267612810	2592.3	
T	-15.733080995	-72.263576103	2212.0	
T	-15.733080995	-72.259539395	1918.2	
T	-15.733080995	-72.255502688	1671.3	
T	-15.733080995	-72.251465980	1425.1	
T	-15.733080995	-72.247429273	1435.8	
T	-15.733080995	-72.243392565	1475.6	
T	-15.733080995	-72.239355858	1851.7	
T	-15.733080995	-72.235319151	2049.5	
T	-15.733080995	-72.231282443	2113.5	
T	-15.733080995	-72.227245736	2632.2	
T	-15.733080995	-72.223209028	2883.8	
T	-15.733080995	-72.219172321	3107.7	
T	-15.733080995	-72.215135614	3259.6	
T	-15.733080995	-72.211098906	3459.2	
T	-15.733080995	-72.207062199	3600.3	
T	-15.733080995	-72.203025491	3745.4	
T	-15.733080995	-72.198988784	3900.7	
T	-15.733080995	-72.194952077	3735.8	
T	-15.733080995	-72.190915369	3695.0	
T	-15.733080995	-72.186878662	3677.5	
T	-15.733080995	-72.182841954	3793.3	
T	-15.733080995	-72.178805247	3684.7	
T	-15.733080995	-72.174768539	3481.0	
T	-15.733080995	-72.170731832	3565.2	
T	-15.733080995	-72.166695125	3541.8	
T	-15.733080995	-72.162658417	3836.3	
T	-15.733080995	-72.158621710	3802.3	
T	-15.733080995	-72.154585002	3920.5	
T	-15.733080995	-72.150548295	4152.0	
T	-15.733080995	-72.146511588	4331.8	
T	-15.733080995	-72.142474880	4184.2	
T	-15.733080995	-72.138438173	4033.0	
T	-15.733080995	-72.134401465	3936.6	
T	-15.733080995	-72.130364758	3977.4	
T	-15.733080995	-72.126328050	3857.4	
T	-15.733080995	-72.122291343	3669.4	
T	-15.733080995	-72.118254636	3701.5	
T	-15.733080995	-72.114217928	3505.1	
T	-15.733080995	-72.110181221	3330.7	
T	-15.733080995	-72.106144513	3316.4	
T	-15.733080995	-72.102107806	3392.6	
T	-15.733080995	-72.098071099	3735.1	
T	-15.733080995	-72.094034391	3907.3	
T	-15.733080995	-72.089997684	4062.8	
T	-15.733080995	-72.085960976	4276.3	
T	-15.733080995	-72.081924269	4312.7	
T	-15.733080995	-72.077887561	4171.5	
T	-15.733080995	-72.073850854	4054.1	
T	-15.733080995	-72.069814147	4084.3	
T	-15.733080995	-72.065777439	4058.7	
T	-15.733080995	-72.061740732	4190.5	
T	-15.733080995	-72.057704024	4489.8	
T	-15.733080995	-72.053667317	4759.7	
T	-15.733080995	-72.049630610	4863.8	
T	-15.733080995	-72.045593902	4900.8	
T	-15.733080995	-72.041557195	5007.8	
T	-15.733080995	-72.037520487	4812.4	
T	-15.733080995	-72.033483780	4833.7	
T	-15.733080995	-72.029447073	4763.7	
T	-15.733080995	-72.025410365	4542.6	
T	-15.733080995	-72.021373658	4323.4	
T	-15.733080995	-72.017336950	4310.7	
T	-15.733080995	-72.013300243	4312.6	
T	-15.733080995	-72.009263535	4322.9	
T	-15.733080995	-72.005226828	4326.9	
T	-15.733080995	-72.001190121	4345.9	
T	-15.733080995	-71.997153413	4423.1	
T	-15.733080995	-71.993116706	4441.0	
T	-15.733080995	-71.989079998	4492.6	
T	-15.733080995	-71.985043291	4566.8	
T	-15.733080995	-71.981006584	4619.3	
T	-15.733080995	-71.976969876	4654.4	
T	-15.733080995	-71.972933169	4687.0	
T	-15.733080995	-71.968896461	4723.6	
T	-15.733080995	-71.964859754	4814.9	
T	-15.733080995	-71.960823046	4916.8	
T	-15.733080995	-71.956786339	4938.1	
T	-15.733080995	-71.952749632	4948.4	
T	-15.733080995	-71.948712924	4961.0	
T	-15.733080995	-71.944676217	4937.8	
T	-15.733080995	-71.940639509	4946.9	
T	-15.733080995	-71.936602802	4978.6	
T	-15.729746468	-72.332200129	4016.3	
T	-15.729746468	-72.328163421	4071.2	
T	-15.729746468	-72.324126714	3986.2	
T	-15.729746468	-72.320090006	3815.4	
T	-15.729746468	-72.316053299	3656.2	
T	-15.729746468	-72.312016592	3538.6	
T	-15.729746468	-72.307979884	3563.5	
T	-15.729746468	-72.303943177	3493.3	
T	-15.729746468	-72.299906469	3297.7	
T	-15.729746468	-72.295869762	3409.9	
T	-15.729746468	-72.291833054	3511.6	
T	-15.729746468	-72.287796347	3419.4	
T	-15.729746468	-72.283759640	3243.3	
T	-15.729746468	-72.279722932	3174.4	
T	-15.729746468	-72.275686225	2983.5	
T	-15.729746468	-72.271649517	2714.7	
T	-15.729746468	-72.267612810	2496.0	
T	-15.729746468	-72.263576103	2258.1	
T	-15.729746468	-72.259539395	1897.6	
T	-15.729746468	-72.255502688	1552.5	
T	-15.729746468	-72.251465980	1556.6	
T	-15.729746468	-72.247429273	1445.1	
T	-15.729746468	-72.243392565	1365.2	
T	-15.729746468	-72.239355858	1529.2	
T	-15.729746468	-72.235319151	1764.5	
T	-15.729746468	-72.231282443	2166.3	
T	-15.729746468	-72.227245736	2656.0	
T	-15.729746468	-72.223209028	2785.7	
T	-15.729746468	-72.219172321	2974.6	
T	-15.729746468	-72.215135614	2993.1	
T	-15.729746468	-72.211098906	3381.1	
T	-15.729746468	-72.207062199	3347.4	
T	-15.729746468	-72.203025491	3539.4	
T	-15.729746468	-72.198988784	3704.5	
T	-15.729746468	-72.194952077	3480.0	
T	-15.729746468	-72.190915369	3491.8	
T	-15.729746468	-72.186878662	3463.1	
T	-15.729746468	-72.182841954	3634.4	
T	-15.729746468	-72.178805247	3505.4	
T	-15.729746468	-72.174768539	3283.3	
T	-15.729746468	-72.170731832	3282.8	
T	-15.729746468	-72.166695125	3349.1	
T	-15.729746468	-72.162658417	3616.6	
T	-15.729746468	-72.158621710	3544.9	
T	-15.729746468	-72.154585002	3672.9	
T	-15.729746468	-72.150548295	3984.8	
T	-15.729746468	-72.146511588	4284.5	
T	-15.729746468	-72.142474880	4204.8	
T	-15.729746468	-72.138438173	4170.7	
T	-15.729746468	-72.134401465	3873.3	
T	-15.729746468	-72.130364758	3725.3	
T	-15.729746468	-72.126328050	3733.9	
T	-15.729746468	-72.122291343	3576.6	
T	-15.729746468	-72.118254636	3549.3	
T	-15.729746468	-72.114217928	3565.6	
T	-15.729746468	-72.110181221	3313.3	
T	-15.729746468	-72.106144513	3305.6	
T	-15.729746468	-72.102107806	3416.9	
T	-15.729746468	-72.098071099	3673.0	
T	-15.729746468	-72.094034391	3729.3	
T	-15.729746468	-72.089997684	3964.6	
T	-15.729746468	-72.085960976	4200.9	
T	-15.729746468	-72.081924269	4137.5	
T	-15.729746468	-72.077887561	4010.0	
T	-15.729746468	-72.073850854	3950.1	
T	-15.729746468	-72.069814147	3934.1	
T	-15.729746468	-72.065777439	3990.5	
T	-15.729746468	-72.061740732	4161.8	
T	-15.729746468	-72.057704024	4397.0	
T	-15.729746468	-72.053667317	4536.4	
T	-15.729746468	-72.049630610	4613.1	
T	-15.729746468	-72.045593902	4704.5	
T	-15.729746468	-72.041557195	4928.1	
T	-15.729746468	-72.037520487	4746.7	
T	-15.729746468	-72.033483780	4656.3	
T	-15.729746468	-72.029447073	4666.5	
T	-15.729746468	-72.025410365	4473.9	
T	-15.729746468	-72.021373658	4343.2	
T	-15.729746468	-72.017336950	4324.1	
T	-15.729746468	-72.013300243	4314.0	
T	-15.729746468	-72.009263535	4317.9	
T	-15.729746468	-72.005226828	4319.5	
T	-15.729746468	-72.001190121	4340.5	
T	-15.729746468	-71.997153413	4408.7	
T	-15.729746468	-71.993116706	4477.4	
T	-15.729746468	-71.989079998	4506.6	
T	-15.729746468	-71.985043291	4544.4	
T	-15.729746468	-71.981006584	4588.1	
T	-15.729746468	-71.976969876	4632.3	
T	-15.729746468	-71.972933169	4686.0	
T	-15.729746468	-71.968896461	4723.4	
T	-15.729746468	-71.964859754	4772.9	
T	-15.729746468	-71.960823046	4812.3	
T	-15.729746468	-71.956786339	4857.2	
T	-15.729746468	-71.952749632	4919.6	
T	-15.729746468	-71.948712924	4959.6	
T	-15.729746468	-71.944676217	5000.2	
T	-15.729746468	-71.940639509	4984.6	
T	-15.729746468	-71.936602802	5000.1	
T	-15.726411942	-72.332200129	4115.2	
T	-15.726411942	-72.328163421	4116.4	
T	-15.726411942	-72.324126714	3948.6	
T	-15.726411942	-72.320090006	3819.2	
T	-15.726411942	-72.316053299	3836.6	
T	-15.726411942	-72.312016592	3709.9	
T	-15.726411942	-72.307979884	3687.2	
T	-15.726411942	-72.303943177	3634.7	
T	-15.726411942	-72.299906469	3428.6	
T	-15.726411942	-72.295869762	3535.7	
T	-15.726411942	-72.291833054	3599.2	
T	-15.726411942	-72.287796347	3559.2	
T	-15.726411942	-72.283759640	3379.1	
T	-15.726411942	-72.279722932	3171.8	
T	-15.726411942	-72.275686225	2925.3	
T	-15.726411942	-72.271649517	2611.4	
T	-15.726411942	-72.267612810	2296.6	
T	-15.726411942	-72.263576103	2029.9	
T	-15.726411942	-72.259539395	1778.3	
T	-15.726411942	-72.255502688	1500.3	
T	-15.726411942	-72.251465980	1655.4	
T	-15.726411942	-72.247429273	1603.8	
T	-15.726411942	-72.243392565	1339.5	
T	-15.726411942	-72.239355858	1367.6	
T	-15.726411942	-72.235319151	1566.4	
T	-15.726411942	-72.231282443	1858.0	
T	-15.726411942	-72.227245736	2361.2	
T	-15.726411942	-72.223209028	2681.2	
T	-15.726411942	-72.219172321	2735.8	
T	-15.726411942	-72.215135614	2894.2	
T	-15.726411942	-72.211098906	3229.8	
T	-15.726411942	-72.207062199	3179.5	
T	-15.726411942	-72.203025491	3450.1	
T	-15.726411942	-72.198988784	3460.2	
T	-15.726411942	-72.194952077	3251.4	
T	-15.726411942	-72.190915369	3221.7	
T	-15.726411942	-72.186878662	3317.0	
T	-15.726411942	-72.182841954	3505.8	
T	-15.726411942	-72.178805247	3260.5	
T	-15.726411942	-72.174768539	3086.0	
T	-15.726411942	-72.170731832	3030.0	
T	-15.726411942	-72.166695125	3147.6	
T	-15.726411942	-72.162658417	3356.0	
T	-15.726411942	-72.158621710	3329.2	
T	-15.726411942	-72.154585002	3530.8	
T	-15.726411942	-72.150548295	3857.6	
T	-15.726411942	-72.146511588	4122.8	
T	-15.726411942	-72.142474880	4239.7	
T	-15.726411942	-72.138438173	4044.7	
T	-15.726411942	-72.134401465	3865.1	
T	-15.726411942	-72.130364758	3576.7	
T	-15.726411942	-72.126328050	3441.2	
T	-15.726411942	-72.122291343	3559.1	
T	-15.726411942	-72.118254636	3320.6	
T	-15.726411942	-72.114217928	3289.0	
T	-15.726411942	-72.110181221	3275.5	
T	-15.726411942	-72.106144513	3282.4	
T	-15.726411942	-72.102107806	3446.1	
T	-15.726411942	-72.098071099	3447.7	
T	-15.726411942	-72.094034391	3579.9	
T	-15.726411942	-72.089997684	3900.4	
T	-15.726411942	-72.085960976	4095.6	
T	-15.726411942	-72.081924269	3946.2	
T	-15.726411942	-72.077887561	3872.6	
T	-15.726411942	-72.073850854	3799.8	
T	-15.726411942	-72.069814147	3860.6	
T	-15.726411942	-72.065777439	3950.8	
T	-15.726411942	-72.061740732	4034.5	
T	-15.726411942	-72.057704024	4213.4	
T	-15.726411942	-72.053667317	4302.1	
T	-15.726411942	-72.049630610	4415.6	
T	-15.726411942	-72.045593902	4687.9	
T	-15.726411942	-72.041557195	4818.9	
T	-15.726411942	-72.037520487	4710.1	
T	-15.726411942	-72.033483780	4584.6	
T	-15.726411942	-72.029447073	4554.5	
T	-15.726411942	-72.025410365	4517.3	
T	-15.726411942	-72.021373658	4379.8	
T	-15.726411942	-72.017336950	4340.8	
T	-15.726411942	-72.013300243	4327.6	
T	-15.726411942	-72.009263535	4315.5	
T	-15.726411942	-72.005226828	4320.6	
T	-15.726411942	-72.001190121	4330.3	
T	-15.726411942	-71.997153413	4376.5	
T	-15.726411942	-71.993116706	4479.9	
T	-15.726411942	-71.989079998	4545.4	
T	-15.726411942	-71.985043291	4569.2	
T	-15.726411942	-71.981006584	4594.5	
T	-15.726411942	-71.976969876	4645.4	
T	-15.726411942	-71.972933169	4675.3	
T	-15.726411942	-71.968896461	4731.3	
T	-15.726411942	-71.964859754	4777.3	
T	-15.726411942	-71.960823046	4830.0	
T	-15.726411942	-71.956786339	4874.5	
T	-15.726411942	-71.952749632	4892.8	
T	-15.726411942	-71.948712924	4923.9	
T	-15.726411942	-71.944676217	4980.2	
T	-15.726411942	-71.940639509	5033.6	
T	-15.726411942	-71.936602802	5056.4	
T	-15.723077415	-72.332200129	4142.4	
T	-15.723077415	-72.328163421	4135.5	
T	-15.723077415	-72.324126714	4022.5	
T	-15.723077415	-72.320090006	3951.0	
T	-15.723077415	-72.316053299	4003.0	
T	-15.723077415	-72.312016592	3816.3	
T	-15.723077415	-72.307979884	3851.6	
T	-15.723077415	-72.303943177	3792.7	
T	-15.723077415	-72.299906469	3525.0	
T	-15.723077415	-72.295869762	3583.6	
T	-15.723077415	-72.291833054	3514.6	
T	-15.723077415	-72.287796347	3400.0	
T	-15.723077415	-72.283759640	3216.1	
T	-15.723077415	-72.279722932	3100.3	
T	-15.723077415	-72.275686225	2790.0	
T	-15.723077415	-72.271649517	2492.6	
T	-15.723077415	-72.267612810	2210.9	
T	-15.723077415	-72.263576103	1952.5	
T	-15.723077415	-72.259539395	1641.3	
T	-15.723077415	-72.255502688	1550.5	
T	-15.723077415	-72.251465980	1675.9	
T	-15.723077415	-72.247429273	1691.3	
T	-15.723077415	-72.243392565	1496.7	
T	-15.723077415	-72.239355858	1369.1	
T	-15.723077415	-72.235319151	1490.9	
T	-15.723077415	-72.231282443	1780.6	
T	-15.723077415	-72.227245736	2200.5	
T	-15.723077415	-72.223209028	2456.2	
T	-15.723077415	-72.219172321	2479.3	
T	-15.723077415	-72.215135614	2759.5	
T	-15.723077415	-72.211098906	2990.4	
T	-15.723077415	-72.207062199	2999.1	
T	-15.723077415	-72.203025491	3224.0	
T	-15.723077415	-72.198988784	3204.1	
T	-15.723077415	-72.194952077	3046.0	
T	-15.723077415	-72.190915369	2988.3	
T	-15.723077415	-72.186878662	3200.1	
T	-15.723077415	-72.182841954	3323.3	
T	-15.723077415	-72.178805247	3082.0	
T	-15.723077415	-72.174768539	2898.0	
T	-15.723077415	-72.170731832	2863.2	
T	-15.723077415	-72.166695125	3088.1	
T	-15.723077415	-72.162658417	3023.4	
T	-15.723077415	-72.158621710	3156.4	
T	-15.723077415	-72.154585002	3533.1	
T	-15.723077415	-72.150548295	3684.7	
T	-15.723077415	-72.146511588	3997.6	
T	-15.723077415	-72.142474880	4042.4	
T	-15.723077415	-72.138438173	3889.3	
T	-15.723077415	-72.134401465	3709.6	
T	-15.723077415	-72.130364758	3428.1	
T	-15.723077415	-72.126328050	3318.5	
T	-15.723077415	-72.122291343	3476.5	
T	-15.723077415	-72.118254636	3201.6	
T	-15.723077415	-72.114217928	3139.7	
T	-15.723077415	-72.110181221	3255.4	
T	-15.723077415	-72.106144513	3264.2	
T	-15.723077415	-72.102107806	3302.0	
T	-15.723077415	-72.098071099	3380.8	
T	-15.723077415	-72.094034391	3591.2	
T	-15.723077415	-72.089997684	3934.6	
T	-15.723077415	-72.085960976	3881.4	
T	-15.723077415	-72.081924269	3765.8	
T	-15.723077415	-72.077887561	3730.7	
T	-15.723077415	-72.073850854	3831.4	
T	-15.723077415	-72.069814147	3930.3	
T	-15.723077415	-72.065777439	4040.5	
T	-15.723077415	-72.061740732	4047.6	
T	-15.723077415	-72.057704024	4176.3	
T	-15.723077415	-72.053667317	4360.7	
T	-15.723077415	-72.049630610	4551.7	
T	-15.723077415	-72.045593902	4612.2	
T	-15.723077415	-72.041557195	4723.2	
T	-15.723077415	-72.037520487	4571.9	
T	-15.723077415	-72.033483780	4663.4	
T	-15.723077415	-72.029447073	4467.9	
T	-15.723077415	-72.025410365	4467.1	
T	-15.723077415	-72.021373658	4410.6	
T	-15.723077415	-72.017336950	4349.5	
T	-15.723077415	-72.013300243	4340.5	
T	-15.723077415	-72.009263535	4323.5	
T	-15.723077415	-72.005226828	4320.7	
T	-15.723077415	-72.001190121	4332.1	
T	-15.723077415	-71.997153413	4373.9	
T	-15.723077415	-71.993116706	4460.1	
T	-15.723077415	-71.989079998	4555.7	
T	-15.723077415	-71.985043291	4617.1	
T	-15.723077415	-71.981006584	4702.3	
T	-15.723077415	-71.976969876	4742.3	
T	-15.723077415	-71.972933169	4740.8	
T	-15.723077415	-71.968896461	4770.9	
T	-15.723077415	-71.964859754	4802.4	
T	-15.723077415	-71.960823046	4850.6	
T	-15.723077415	-71.956786339	4876.4	
T	-15.723077415	-71.952749632	4896.5	
T	-15.723077415	-71.948712924	4915.8	
T	-15.723077415	-71.944676217	4969.0	
T	-15.723077415	-71.940639509	5041.0	
T	-15.723077415	-71.936602802	5139.2	
T	-15.719742889	-72.332200129	4096.5	
T	-15.719742889	-72.328163421	4079.3	
T	-15.719742889	-72.324126714	4013.9	
T	-15.719742889	-72.320090006	3989.6	
T	-15.719742889	-72.316053299	3954.9	
T	-15.719742889	-72.312016592	3926.2	
T	-15.719742889	-72.307979884	3906.0	
T	-15.719742889	-72.303943177	3774.0	
T	-15.719742889	-72.299906469	3684.7	
T	-15.719742889	-72.295869762	3592.0	
T	-15.719742889	-72.291833054	3375.2	
T	-15.719742889	-72.287796347	3191.5	
T	-15.719742889	-72.283759640	2994.7	
T	-15.719742889	-72.279722932	2859.2	
T	-15.719742889	-72.275686225	2666.7	
T	-15.719742889	-72.271649517	2359.1	
T	-15.719742889	-72.267612810	2121.4	
T	-15.719742889	-72.263576103	1874.2	
T	-15.719742889	-72.259539395	1620.4	
T	-15.719742889	-72.255502688	1691.2	
T	-15.719742889	-72.251465980	1701.5	
T	-15.719742889	-72.247429273	1714.7	
T	-15.719742889	-72.243392565	1690.7	
T	-15.719742889	-72.239355858	1511.2	
T	-15.719742889	-72.235319151	1449.8	
T	-15.719742889	-72.231282443	1747.2	
T	-15.719742889	-72.227245736	2078.6	
T	-15.719742889	-72.223209028	2344.7	
T	-15.719742889	-72.219172321	2345.5	
T	-15.719742889	-72.215135614	2757.2	
T	-15.719742889	-72.211098906	2787.2	
T	-15.719742889	-72.207062199	2922.1	
T	-15.719742889	-72.203025491	3055.2	
T	-15.719742889	-72.198988784	2999.8	
T	-15.719742889	-72.194952077	2819.2	
T	-15.719742889	-72.190915369	2812.6	
T	-15.719742889	-72.186878662	3147.5	
T	-15.719742889	-72.182841954	3088.0	
T	-15.719742889	-72.178805247	2974.7	
T	-15.719742889	-72.174768539	2775.1	
T	-15.719742889	-72.170731832	2676.7	
T	-15.719742889	-72.166695125	2833.9	
T	-15.719742889	-72.162658417	2931.4	
T	-15.719742889	-72.158621710	3167.1	
T	-15.719742889	-72.154585002	3429.2	
T	-15.719742889	-72.150548295	3769.8	
T	-15.719742889	-72.146511588	3726.8	
T	-15.719742889	-72.142474880	3804.8	
T	-15.719742889	-72.138438173	3944.7	
T	-15.719742889	-72.134401465	3733.8	
T	-15.719742889	-72.130364758	3490.8	
T	-15.719742889	-72.126328050	3217.8	
T	-15.719742889	-72.122291343	3311.9	
T	-15.719742889	-72.118254636	3062.8	
T	-15.719742889	-72.114217928	3088.4	
T	-15.719742889	-72.110181221	3200.2	
T	-15.719742889	-72.106144513	3212.6	
T	-15.719742889	-72.102107806	3318.5	
T	-15.719742889	-72.098071099	3471.8	
T	-15.719742889	-72.094034391	3705.8	
T	-15.719742889	-72.089997684	3789.6	
T	-15.719742889	-72.085960976	3648.0	
T	-15.719742889	-72.081924269	3622.9	
T	-15.719742889	-72.077887561	3748.1	
T	-15.719742889	-72.073850854	3900.0	
T	-15.719742889	-72.069814147	4059.3	
T	-15.719742889	-72.065777439	4190.8	
T	-15.719742889	-72.061740732	4232.2	
T	-15.719742889	-72.057704024	4255.3	
T	-15.719742889	-72.053667317	4443.5	
T	-15.719742889	-72.049630610	4581.1	
T	-15.719742889	-72.045593902	4494.3	
T	-15.719742889	-72.041557195	4639.6	
T	-15.719742889	-72.037520487	4491.3	
T	-15.719742889	-72.033483780	4562.3	
T	-15.719742889	-72.029447073	4430.0	
T	-15.719742889	-72.025410365	4386.8	
T	-15.719742889	-72.021373658	4370.7	
T	-15.719742889	-72.017336950	4357.0	
T	-15.719742889	-72.013300243	4350.7	
T	-15.719742889	-72.009263535	4332.9	
T	-15.719742889	-72.005226828	4317.7	
T	-15.719742889	-72.001190121	4326.8	
T	-15.719742889	-71.997153413	4403.7	
T	-15.719742889	-71.993116706	4489.9	
T	-15.719742889	-71.989079998	4578.2	
T	-15.719742889	-71.985043291	4631.5	
T	-15.719742889	-71.981006584	4697.3	
T	-15.719742889	-71.976969876	4745.5	
T	-15.719742889	-71.972933169	4836.1	
T	-15.719742889	-71.968896461	4846.4	
T	-15.719742889	-71.964859754	4832.3	
T	-15.719742889	-71.960823046	4851.1	
T	-15.719742889	-71.956786339	4908.6	
T	-15.719742889	-71.952749632	4922.9	
T	-15.719742889	-71.948712924	4951.8	
T	-15.719742889	-71.944676217	4992.2	
T	-15.719742889	-71.940639509	5113.3	
T	-15.719742889	-71.936602802	5221.0	
T	-15.716408362	-72.332200129	3868.9	
T	-15.716408362	-72.328163421	3836.0	
T	-15.716408362	-72.324126714	3741.5	
T	-15.716408362	-72.320090006	3773.8	
T	-15.716408362	-72.316053299	3878.2	
T	-15.716408362	-72.312016592	3891.2	
T	-15.716408362	-72.307979884	3742.5	
T	-15.716408362	-72.303943177	3624.4	
T	-15.716408362	-72.299906469	3518.5	
T	-15.716408362	-72.295869762	3420.1	
T	-15.716408362	-72.291833054	3229.8	
T	-15.716408362	-72.287796347	2950.8	
T	-15.716408362	-72.283759640	2766.5	
T	-15.716408362	-72.279722932	2608.3	
T	-15.716408362	-72.275686225	2510.2	
T	-15.716408362	-72.271649517	2249.8	
T	-15.716408362	-72.267612810	1999.3	
T	-15.716408362	-72.263576103	1824.2	
T	-15.716408362	-72.259539395	1631.2	
T	-15.716408362	-72.255502688	1712.0	
T	-15.716408362	-72.251465980	1732.1	
T	-15.716408362	-72.247429273	1716.8	
T	-15.716408362	-72.243392565	1698.4	
T	-15.716408362	-72.239355858	1546.9	
T	-15.716408362	-72.235319151	1478.7	
T	-15.716408362	-72.231282443	1738.4	
T	-15.716408362	-72.227245736	1928.2	
T	-15.716408362	-72.223209028	2057.9	
T	-15.716408362	-72.219172321	2282.8	
T	-15.716408362	-72.215135614	2520.0	
T	-15.716408362	-72.211098906	2475.1	
T	-15.716408362	-72.207062199	2778.4	
T	-15.716408362	-72.203025491	2853.0	
T	-15.716408362	-72.198988784	2853.8	
T	-15.716408362	-72.194952077	2691.5	
T	-15.716408362	-72.190915369	2650.9	
T	-15.716408362	-72.186878662	2895.2	
T	-15.716408362	-72.182841954	2796.8	
T	-15.716408362	-72.178805247	2840.8	
